index,valid,starts_with_basic_game,all_sections_present,sprite_similarity,interaction_similarity,termination_similarity,final_score,generation_seconds,prompt_tokens,generated_tokens,validation_errors
0,True,True,False,0.07339449541284404,0.0,0.0,0.01834862385321101,41.21156000001065,960,400,
1,False,True,True,0.3125,0.16666666666666666,0.5,0.2864583333333333,39.57394590000331,521,381,Parsing error: too many values to unpack (expected 2)
2,False,True,True,0.9,0.47058823529411764,0.0,0.46029411764705885,38.97516360000009,589,387,Parsing error: Unknown VGDL class: Door
3,True,True,False,0.5294117647058824,0.15384615384615385,0.0,0.20927601809954752,40.24108779999369,589,400,
4,False,True,True,0.3,0.0,0.0,0.075,27.206259800004773,400,268,Parsing error: Unknown VGDL class: Door
5,False,True,True,1.0,1.0,0.0,0.75,24.167168899992248,369,239,Parsing error: Unknown VGDL class: RandomShotAvatar
6,False,True,False,0.3333333333333333,0.1,0.0,0.13333333333333333,40.260158100005356,669,400,Parsing error: Unknown VGDL class: OngoingAvatar
7,False,True,True,0.2962962962962963,0.058823529411764705,0.0,0.10348583877995643,38.0394696000003,533,376,Parsing error: Unknown VGDL class: killIfOtherHasMoreHealths
8,True,True,False,0.1794871794871795,0.0,0.0,0.04487179487179487,40.16428420000011,723,400,
9,False,True,True,0.5454545454545454,0.2,1.0,0.48636363636363633,26.789656799999648,379,266,Parsing error: Unknown VGDL class: killBoth
10,False,True,False,0.42857142857142855,0.42857142857142855,0.0,0.3214285714285714,40.14717720000772,635,400,Parsing error: Unknown VGDL class: killBoth
11,False,True,False,0.7058823529411765,0.16666666666666666,0.0,0.25980392156862747,40.18186470000364,661,400,Parsing error: Unknown VGDL class: Door
12,True,True,False,0.28125,0.0,0.0,0.0703125,40.22626169999421,767,400,
13,False,True,False,0.3125,0.0,0.0,0.078125,40.30383730000176,656,400,Parsing error: Unknown VGDL class: RotateAvatar
14,True,True,True,0.25,0.14285714285714285,0.0,0.13392857142857142,25.777509299994563,355,252,
15,False,True,False,0.38095238095238093,0.06060606060606061,0.0,0.12554112554112554,39.99789910000982,922,400,Parsing error: Unknown VGDL class: changeGaze
16,False,True,True,0.09090909090909091,0.0,0.0,0.022727272727272728,20.263128999999026,331,198,Parsing error: Unknown VGDL class: spawnIfOther
17,False,True,False,0.2857142857142857,0.0,0.0,0.07142857142857142,40.055812999999034,718,400,Parsing error: Unknown VGDL class: Door
18,False,True,True,0.8181818181818182,0.5,0.0,0.4545454545454546,33.001501999999164,508,328,Parsing error: Unknown VGDL class: Door
19,False,True,False,0.2608695652173913,0.07142857142857142,0.0,0.10093167701863354,39.98834879999049,637,400,Parsing error: Unknown VGDL class: Door
20,True,True,False,0.14705882352941177,0.0,0.0,0.03676470588235294,39.98529620000045,903,400,
